StichtagDatJahr,AnzBestWir,AnzBestWirCH,AnzBestWirCHW,AnzBestWirCHM,AnzBestWirAUSL,AnzBestWirAUSLW,AnzBestWirAUSLM,AuslAnt
1901,150301,108291,,,42010,,,28
1902,153741,110707,,,43034,,,28
1903,158719,112915,,,45804,,,28.9
1904,164060,115612,,,48448,,,29.5
1905,168877,117236,,,51641,,,30.6
1906,173283,118600,,,54683,,,31.6
1907,177899,120861,,,57038,,,32.1
1908,180722,122662,,,58060,,,32.1
1909,185041,125001,,,60040,,,32.4
1910,190092,126470,,,63622,,,33.5
1911,195525,129396,,,66129,,,33.8
1912,200462,131976,,,68486,,,34.2
1913,200632,133654,,,66978,,,33.4
1914,195867,136982,,,58885,,,30.1
1915,199726,142516,,,57210,,,28.6
1916,206073,148783,,,57290,,,27.8
1917,213193,156816,,,56377,,,26.4
1918,211421,159503,,,51918,,,24.6
1919,210151,161710,,,48441,,,23.1
1920,206299,161303,,,44996,,,21.8
1921,201242,161330,,,39912,,,19.8
1922,200289,161775,,,38514,,,19.2
1923,204049,164666,,,39383,,,19.3
1924,206719,168910,,,37809,,,18.3
1925,209327,172892,,,36435,,,17.4
1926,214959,178686,,,36273,,,16.9
1927,220613,184773,,,35840,,,16.2
1928,230476,194573,,,35903,,,15.6
1929,240202,203263,,,36939,,,15.4
1930,249067,211211,,,37856,,,15.2
1931,257478,219833,,,37645,,,14.6
1932,260694,225226,,,35468,,,13.6
1933,264043,230254,,,33789,,,12.8
1934,315864,278698,147867,130831,37166,22804,14362,11.8
1935,317157,281847,150146,131701,35310,21797,13513,11.1
1936,317712,284560,152290,132270,33152,20463,12689,10.4
1937,318926,287233,153724,133509,31693,19450,12243,9.9
1938,326979,293435,157170,136265,33544,19809,13735,10.3
1939,333984,302050,161887,140163,31934,18887,13047,9.6
1940,334026,305417,163711,141706,28609,16943,11666,8.6
1941,336531,309932,166386,143546,26599,15728,10871,7.9
1942,339721,314417,168869,145548,25304,14976,10328,7.4
1943,345819,320742,172177,148565,25077,14804,10273,7.3
1944,351679,326538,175132,151406,25141,14771,10370,7.1
1945,357381,333075,178313,154762,24306,14326,9980,6.8
1946,367171,340227,181114,159113,26944,15898,11046,7.3
1947,377087,344894,182793,162101,32193,19192,13001,8.5
1948,383568,349134,184925,164209,34434,20724,13710,9
1949,386003,353527,187651,165876,32476,20193,12283,8.4
1950,389573,357874,190383,167491,31699,20141,11558,8.1
1951,396260,362108,192542,169566,34152,21433,12719,8.6
1952,403625,367864,195622,172242,35761,22216,13545,8.9
1953,408544,372651,198597,174054,35893,22353,13540,8.8
